method,budget,cer_mean,wer_mean,word_recall_mean,n,byte_utilization_mean
bops,patches_2,0.8220326212951938,1.0295971926143899,0.17651958493392822,200,
bops,patches_4,0.904129132118774,1.1975265149412992,0.20889180555401782,200,
bops,patches_8,1.0209014167387067,1.425782055261672,0.24515653179192454,200,
jpeg,kb_100,0.6767449236699153,0.8846919617733618,0.26560583864430437,199,0.9676482019472362
jpeg,kb_200,0.6799545394144895,0.8864871501302127,0.2794923744689144,200,0.8285157714843749
jpeg,kb_50,0.6894591142367479,0.87912869766709,0.25001588000972874,199,0.9834292556532663
jpeg,kb_500,0.6771034017939285,0.8884369112009756,0.27992970772270004,200,0.38840296875
original,area_1.0,0.6737639250199433,0.8832840674870834,0.27995767597784665,200,
resize,area_0.125,0.8220246035300862,0.9211717810092146,0.1047582416167214,200,
resize,area_0.25,0.752001283696125,0.9011715354791536,0.1684211314061988,200,
resize,area_0.5,0.6854696067748729,0.8611209888459164,0.2346581691458541,200,
resize,area_1.0,0.6737639250199433,0.8832840674870834,0.27995767597784665,200,
webp,kb_100,0.6752184946586577,0.8823669116558014,0.27440862442375547,199,0.9343937460741205
webp,kb_200,0.67456394620376,0.8777881202191528,0.2776376670822107,200,0.761438525390625
webp,kb_50,0.6872572829130017,0.8967725639525113,0.262175162819014,199,0.9760446765075378
webp,kb_500,0.6727489008394936,0.8765096690353069,0.2781741762093563,200,0.34021517578125
